trade,time,side,atr,equity
1,2024-01-01T05:45:00,SELL,0.11963,10016.47
2,2024-01-01T07:00:00,BUY,0.12107,10037.55
3,2024-01-01T08:45:00,SELL,0.12761,10049.89
4,2024-01-01T09:30:00,SELL,0.11913,10069.39
5,2024-01-01T12:00:00,SELL,0.11325,10090.03
6,2024-01-01T12:30:00,BUY,0.11971,10123.69
7,2024-01-01T13:15:00,BUY,0.1194,10144.08
8,2024-01-01T14:45:00,SELL,0.12646,10122.61
9,2024-01-01T15:45:00,SELL,0.11999,10118.13
10,2024-01-01T18:45:00,BUY,0.12283,10150.14
11,2024-01-02T02:15:00,SELL,0.11984,10170.98
12,2024-01-02T02:45:00,SELL,0.12224,10200.49
13,2024-01-02T05:00:00,SELL,0.12403,10198.75
14,2024-01-02T05:45:00,BUY,0.12117,10218.15
15,2024-01-02T10:15:00,BUY,0.11254,10242.86
16,2024-01-02T12:15:00,SELL,0.12846,10238.3
17,2024-01-02T14:45:00,BUY,0.11376,10234.75
18,2024-01-02T15:00:00,SELL,0.11676,10261.32
19,2024-01-02T16:30:00,BUY,0.11568,10245.92
20,2024-01-02T19:15:00,BUY,0.12674,10261.87
21,2024-01-02T20:30:00,BUY,0.12786,10271.28
22,2024-01-02T21:00:00,SELL,0.12467,10274.48
23,2024-01-02T21:30:00,SELL,0.13049,10291.72
24,2024-01-02T22:30:00,BUY,0.13159,10293.68
25,2024-01-02T23:00:00,BUY,0.12746,10311.92
26,2024-01-02T23:30:00,BUY,0.12935,10331.45
27,2024-01-03T01:00:00,BUY,0.13767,10342.03
28,2024-01-03T02:15:00,BUY,0.1339,10350.29
29,2024-01-03T03:15:00,BUY,0.1304,10368.96
30,2024-01-03T07:30:00,SELL,0.12577,10367.71
31,2024-01-03T08:30:00,SELL,0.1238,10366.34
32,2024-01-03T10:15:00,BUY,0.11825,10367.25
33,2024-01-03T14:30:00,SELL,0.126,10379.17
34,2024-01-03T15:30:00,SELL,0.11975,10405.2
35,2024-01-03T17:15:00,SELL,0.1119,10425.05
36,2024-01-03T18:45:00,SELL,0.11116,10440.68
37,2024-01-03T19:00:00,BUY,0.10926,10462.39
38,2024-01-04T02:45:00,BUY,0.09668,10409.0
39,2024-01-04T03:45:00,BUY,0.10072,10442.91
40,2024-01-04T04:30:00,BUY,0.11012,10468.24
41,2024-01-04T06:30:00,SELL,0.12386,10476.61
42,2024-01-04T07:15:00,SELL,0.11504,10483.17
43,2024-01-04T09:15:00,BUY,0.12243,10511.05
44,2024-01-04T10:30:00,SELL,0.13071,10549.76
45,2024-01-04T12:00:00,BUY,0.12755,10587.22
46,2024-01-04T13:15:00,BUY,0.12805,10619.38
47,2024-01-04T15:30:00,SELL,0.11663,10613.08
48,2024-01-04T16:00:00,SELL,0.10993,10634.51
49,2024-01-04T17:30:00,BUY,0.11048,10657.92
50,2024-01-04T19:00:00,BUY,0.11047,10677.01
51,2024-01-04T19:30:00,BUY,0.10853,10680.16
52,2024-01-05T02:00:00,BUY,0.12584,10719.97
