trade,equity
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,9950.0
26,9950.0
27,9950.0
28,9950.0
29,9950.0
30,9950.0
31,9950.0
32,9950.0
33,9950.0
34,9900.25
35,9900.25
36,9900.25
37,9900.25
38,9900.25
39,9900.25
40,9900.25
41,9900.25
42,9900.25
43,9900.25
44,9900.25
45,9900.25
46,9900.25
47,9900.25
48,9900.25
49,9900.25
50,9900.25
51,9850.75
52,9850.75
53,9850.75
54,9850.75
55,9850.75
56,9850.75
57,9850.75
58,9801.5
59,9801.5
60,9801.5
61,9801.5
62,9801.5
63,9801.5
64,9801.5
65,9801.5
66,9801.5
67,9801.5
68,9752.49
69,9752.49
70,9752.49
71,9752.49
72,9752.49
73,9752.49
74,9752.49
75,9752.49
76,9752.49
77,9752.49
78,9752.49
79,9813.44
80,9813.44
81,9813.44
82,9813.44
83,9813.44
84,9813.44
85,9813.44
86,9813.44
87,9813.44
88,9813.44
89,9813.44
90,9813.44
91,9813.44
92,9813.44
93,9813.44
94,9813.44
95,9813.44
96,9813.44
97,9813.44
98,9813.44
99,9813.44
100,9813.44
101,9813.44
102,9813.44
103,9813.44
104,9813.44
105,9813.44
106,9813.44
107,9813.44
108,9813.44
109,9874.77
110,9874.77
111,9874.77
112,9874.77
113,9874.77
114,9874.77
115,9874.77
116,9874.77
117,9874.77
118,9874.77
119,9874.77
120,9825.4
121,9825.4
122,9825.4
123,9825.4
124,9825.4
125,9825.4
126,9825.4
127,9825.4
128,9825.4
129,9825.4
130,9825.4
131,9825.4
132,9825.4
133,9825.4
134,9825.4
135,9825.4
136,9825.4
137,9825.4
138,9825.4
139,9825.4
140,9825.4
141,9825.4
142,9776.27
143,9776.27
144,9776.27
145,9776.27
146,9776.27
147,9776.27
148,9776.27
149,9776.27
150,9776.27
151,9776.27
152,9776.27
153,9776.27
154,9776.27
155,9776.27
156,9776.27
157,9776.27
158,9776.27
159,9776.27
160,9776.27
161,9776.27
162,9776.27
163,9776.27
164,9727.39
165,9727.39
166,9727.39
167,9727.39
168,9727.39
169,9727.39
170,9727.39
171,9727.39
172,9727.39
173,9727.39
174,9727.39
175,9727.39
176,9727.39
177,9727.39
178,9727.39
179,9727.39
180,9727.39
181,9727.39
182,9727.39
183,9727.39
184,9727.39
185,9727.39
186,9727.39
187,9727.39
188,9727.39
189,9727.39
190,9727.39
191,9788.19
192,9788.19
193,9788.19
194,9788.19
195,9788.19
196,9788.19
197,9788.19
198,9788.19
199,9788.19
200,9788.19
201,9788.19
202,9788.19
203,9788.19
204,9788.19
205,9788.19
206,9849.36
207,9849.36
208,9849.36
209,9849.36
210,9849.36
211,9849.36
212,9849.36
213,9849.36
214,9849.36
215,9849.36
216,9849.36
217,9849.36
218,9849.36
219,9849.36
220,9849.36
221,9849.36
222,9849.36
223,9849.36
224,9849.36
225,9849.36
226,9849.36
227,9849.36
228,9849.36
229,9849.36
230,9849.36
231,9800.12
232,9800.12
233,9800.12
234,9800.12
235,9800.12
236,9861.37
237,9861.37
238,9861.37
239,9861.37
240,9861.37
241,9861.37
242,9861.37
243,9861.37
244,9861.37
245,9861.37
246,9861.37
247,9861.37
248,9861.37
249,9861.37
250,9861.37
251,9861.37
252,9861.37
253,9861.37
254,9812.06
255,9812.06
256,9812.06
257,9812.06
258,9812.06
259,9812.06
260,9873.39
261,9873.39
262,9873.39
263,9824.02
264,9824.02
265,9824.02
266,9824.02
267,9824.02
268,9824.02
269,9824.02
270,9774.9
271,9774.9
272,9774.9
273,9774.9
274,9774.9
275,9774.9
276,9774.9
277,9774.9
278,9774.9
279,9774.9
280,9774.9
281,9774.9
282,9774.9
283,9774.9
284,9774.9
285,9774.9
286,9774.9
287,9774.9
288,9774.9
289,9774.9
290,9774.9
291,9774.9
292,9774.9
293,9774.9
294,9774.9
295,9774.9
296,9774.9
297,9774.9
298,9774.9
299,9774.9
300,9774.9
301,9774.9
302,9774.9
303,9774.9
304,9774.9
305,9774.9
306,9774.9
307,9774.9
308,9774.9
309,9774.9
310,9774.9
311,9774.9
312,9726.03
313,9726.03
314,9726.03
315,9726.03
316,9726.03
317,9726.03
318,9726.03
319,9726.03
320,9726.03
321,9726.03
322,9726.03
323,9726.03
324,9726.03
325,9726.03
326,9726.03
327,9677.4
328,9677.4
329,9677.4
330,9677.4
331,9677.4
332,9677.4
333,9677.4
334,9677.4
335,9677.4
336,9629.01
337,9629.01
338,9629.01
339,9689.19
340,9689.19
341,9689.19
342,9689.19
343,9640.74
344,9640.74
345,9640.74
346,9640.74
347,9640.74
348,9640.74
349,9640.74
350,9640.74
351,9640.74
352,9640.74
353,9640.74
354,9640.74
355,9640.74
356,9640.74
357,9592.54
358,9592.54
359,9592.54
360,9592.54
361,9592.54
362,9592.54
363,9592.54
364,9544.58
365,9544.58
366,9544.58
367,9544.58
368,9604.23
369,9604.23
370,9604.23
371,9604.23
372,9604.23
373,9604.23
374,9604.23
375,9604.23
376,9604.23
377,9604.23
378,9604.23
379,9604.23
380,9604.23
381,9604.23
382,9604.23
383,9604.23
384,9604.23
385,9604.23
386,9604.23
387,9604.23
388,9604.23
389,9604.23
390,9604.23
391,9604.23
392,9604.23
393,9604.23
394,9604.23
395,9604.23
396,9556.21
397,9556.21
398,9556.21
399,9556.21
400,9556.21
