trade,equity
1,10000.0
2,10000.0
3,10000.0
4,10000.0
5,10000.0
6,10000.0
7,10000.0
8,10000.0
9,10000.0
10,10000.0
11,10000.0
12,10000.0
13,10000.0
14,10000.0
15,10000.0
16,10000.0
17,10000.0
18,10000.0
19,10000.0
20,10000.0
21,10000.0
22,10000.0
23,10000.0
24,10000.0
25,10000.0
26,10000.0
27,10000.0
28,10000.0
29,10000.0
30,10000.0
31,10062.5
32,10062.5
33,10062.5
34,10062.5
35,10062.5
36,10062.5
37,10062.5
38,10062.5
39,10062.5
40,10062.5
41,10062.5
42,10062.5
43,10062.5
44,10062.5
45,10062.5
46,10062.5
47,10062.5
48,10062.5
49,10062.5
50,10062.5
51,10012.19
52,10012.19
53,10012.19
54,10012.19
55,10012.19
56,10012.19
57,10012.19
58,9962.13
59,9962.13
60,9962.13
61,9962.13
62,9962.13
63,9962.13
64,9962.13
65,9962.13
66,9962.13
67,9962.13
68,9912.32
69,9912.32
70,9912.32
71,9912.32
72,9912.32
73,9912.32
74,9912.32
75,9912.32
76,9912.32
77,9912.32
78,9912.32
79,9974.27
80,9974.27
81,9974.27
82,9974.27
83,9974.27
84,9974.27
85,9974.27
86,9974.27
87,9974.27
88,9974.27
89,9974.27
90,9974.27
91,9974.27
92,9974.27
93,9974.27
94,9974.27
95,9974.27
96,9974.27
97,9974.27
98,9974.27
99,9974.27
100,9974.27
101,9974.27
102,9974.27
103,9974.27
104,9974.27
105,9974.27
106,9924.4
107,9924.4
108,9874.77
109,9874.77
110,9874.77
111,9874.77
112,9874.77
113,9874.77
114,9874.77
115,9874.77
116,9874.77
117,9874.77
118,9874.77
119,9874.77
120,9874.77
121,9936.49
122,9936.49
123,9936.49
124,9936.49
125,9936.49
126,9936.49
127,9936.49
128,9936.49
129,9936.49
130,9936.49
131,9936.49
132,9936.49
133,9936.49
134,9936.49
135,9936.49
136,9936.49
137,9936.49
138,9936.49
139,9936.49
140,9936.49
141,9936.49
142,9936.49
143,9936.49
144,9936.49
145,9936.49
146,9936.49
147,9936.49
148,9936.49
149,9936.49
150,9936.49
151,9936.49
152,9936.49
153,9936.49
154,9936.49
155,9936.49
156,9936.49
157,9886.81
158,9886.81
159,9886.81
160,9886.81
161,9886.81
162,9837.38
163,9837.38
164,9837.38
165,9837.38
166,9837.38
167,9837.38
168,9837.38
169,9837.38
170,9837.38
171,9837.38
172,9837.38
173,9837.38
174,9837.38
175,9837.38
176,9837.38
177,9837.38
178,9837.38
179,9837.38
180,9837.38
181,9788.19
182,9788.19
183,9788.19
184,9788.19
185,9739.25
186,9739.25
187,9739.25
188,9739.25
189,9739.25
190,9739.25
191,9739.25
192,9739.25
193,9739.25
194,9739.25
195,9739.25
196,9739.25
197,9739.25
198,9739.25
199,9739.25
200,9739.25
201,9739.25
202,9739.25
203,9739.25
204,9739.25
205,9739.25
206,9800.12
207,9800.12
208,9800.12
209,9800.12
210,9800.12
211,9800.12
212,9800.12
213,9800.12
214,9800.12
215,9800.12
216,9800.12
217,9800.12
218,9800.12
219,9800.12
220,9800.12
221,9800.12
222,9800.12
223,9800.12
224,9800.12
225,9800.12
226,9800.12
227,9800.12
228,9800.12
229,9800.12
230,9800.12
231,9751.12
232,9751.12
233,9751.12
234,9751.12
235,9751.12
236,9812.06
237,9812.06
238,9812.06
239,9812.06
240,9812.06
241,9812.06
242,9812.06
243,9812.06
244,9812.06
245,9812.06
246,9812.06
247,9812.06
248,9812.06
249,9812.06
250,9812.06
251,9812.06
252,9812.06
253,9812.06
254,9873.39
255,9873.39
256,9873.39
257,9873.39
258,9873.39
259,9873.39
260,9935.1
261,9935.1
262,9935.1
263,9885.42
264,9885.42
265,9885.42
266,9885.42
267,9885.42
268,9885.42
269,9885.42
270,9885.42
271,9885.42
272,9885.42
273,9947.2
274,9947.2
275,9947.2
276,9947.2
277,9947.2
278,9947.2
279,9947.2
280,9947.2
281,9947.2
282,9947.2
283,9947.2
284,9947.2
285,9947.2
286,9947.2
287,9947.2
288,9947.2
289,9947.2
290,9947.2
291,9947.2
292,9947.2
293,9947.2
294,9947.2
295,9947.2
296,9947.2
297,9947.2
298,9947.2
299,9947.2
300,9947.2
301,9947.2
302,9947.2
303,9947.2
304,9947.2
305,9947.2
306,9947.2
307,9947.2
308,9947.2
309,9947.2
310,9947.2
311,9947.2
312,9897.47
313,9897.47
314,9897.47
315,9897.47
316,9897.47
317,9897.47
318,9897.47
319,9897.47
320,9897.47
321,9897.47
322,9897.47
323,9897.47
324,9897.47
325,9897.47
326,9897.47
327,9847.98
328,9847.98
329,9847.98
330,9847.98
331,9847.98
332,9847.98
333,9847.98
334,9847.98
335,9847.98
336,9847.98
337,9798.74
338,9798.74
339,9798.74
340,9798.74
341,9798.74
342,9798.74
343,9798.74
344,9798.74
345,9798.74
346,9798.74
347,9798.74
348,9798.74
349,9798.74
350,9798.74
351,9798.74
352,9798.74
353,9798.74
354,9798.74
355,9798.74
356,9798.74
357,9749.75
358,9749.75
359,9749.75
360,9749.75
361,9749.75
362,9749.75
363,9749.75
364,9701.0
365,9701.0
366,9701.0
367,9701.0
368,9701.0
369,9701.0
370,9701.0
371,9701.0
372,9701.0
373,9701.0
374,9701.0
375,9701.0
376,9701.0
377,9701.0
378,9701.0
379,9701.0
380,9701.0
381,9701.0
382,9701.0
383,9701.0
384,9701.0
385,9701.0
386,9701.0
387,9701.0
388,9701.0
389,9701.0
390,9701.0
391,9701.0
392,9701.0
393,9761.63
394,9761.63
395,9761.63
396,9761.63
397,9761.63
398,9761.63
399,9761.63
400,9761.63
