trade,equity
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
1,9999.65
1,9999.65
1,9999.65
1,9999.65
1,9999.65
1,9999.65
1,9999.65
1,9999.65
1,9999.65
1,9999.65
1,9999.65
1,9999.65
1,9999.65
2,9999.26
2,9999.26
2,9999.26
2,9999.26
2,9999.26
2,9999.26
2,9999.26
3,9998.88
3,9998.88
3,9998.88
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
4,9998.47
5,9998.06
5,9998.06
5,9998.06
5,9998.06
5,9998.06
5,9998.06
5,9998.06
5,9998.06
5,9998.06
5,9998.06
6,9997.62
6,9997.62
6,9997.62
6,9997.62
7,9967.24
7,9967.24
7,9967.24
7,9967.24
7,9967.24
7,9967.24
7,9967.24
8,9966.84
8,9966.84
8,9966.84
8,9966.84
8,9966.84
8,9966.84
8,9966.84
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
9,9936.55
10,9936.15
10,9936.15
10,9936.15
10,9936.15
10,9936.15
10,9936.15
10,9936.15
10,9936.15
11,9935.67
11,9935.67
11,9935.67
11,9935.67
11,9935.67
11,9935.67
11,9935.67
11,9935.67
11,9935.67
11,9935.67
11,9935.67
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
12,9935.23
13,9934.82
13,9934.82
13,9934.82
14,9934.4
14,9934.4
15,9933.99
15,9933.99
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
16,9933.6
17,9933.22
17,9933.22
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
18,9932.85
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
19,9932.43
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
20,9931.99
21,9901.68
21,9901.68
21,9901.68
21,9901.68
21,9901.68
21,9901.68
21,9901.68
21,9901.68
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
22,9901.24
23,9871.14
23,9871.14
23,9871.14
23,9871.14
23,9871.14
23,9871.14
23,9871.14
23,9871.14
23,9871.14
23,9871.14
23,9871.14
23,9871.14
23,9871.14
24,9841.15
24,9841.15
24,9841.15
25,9840.76
25,9840.76
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
26,9840.37
27,9839.92
27,9839.92
27,9839.92
27,9839.92
27,9839.92
27,9839.92
27,9839.92
27,9839.92
27,9839.92
28,9809.96
28,9809.96
28,9809.96
28,9809.96
28,9809.96
28,9809.96
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
29,9780.1
