trade,equity
1,9950.0
2,10012.19
3,9962.13
4,9912.32
5,9974.27
6,10036.61
7,10099.34
8,10048.84
9,10111.64
10,10061.09
11,10010.78
12,10073.35
13,10022.98
14,10085.63
15,10035.2
16,9985.02
17,10047.43
18,10110.22
19,10059.67
20,10009.37
21,9959.33
22,10021.57
23,10084.21
24,10147.23
25,10096.5
26,10159.6
27,10223.1
28,10171.98
29,10235.56
30,10299.53
31,10248.03
32,10196.79
33,10145.81
34,10209.22
35,10273.03
36,10337.23
37,10285.55
38,10234.12
39,10182.95
40,10246.59
41,10195.36
42,10144.38
43,10207.79
44,10156.75
45,10220.23
46,10284.1
47,10232.68
48,10296.64
49,10245.15
50,10193.93
51,10257.64
52,10206.35
53,10270.14
54,10334.33
55,10398.92
56,10346.92
57,10411.59
58,10359.53
59,10424.28
60,10372.16
61,10320.3
62,10268.7
63,10332.88
64,10397.46
65,10345.47
66,10410.13
67,10358.08
68,10422.82
69,10487.96
70,10435.52
71,10500.74
72,10566.37
73,10632.41
74,10698.86
75,10765.73
76,10711.9
77,10778.85
78,10846.22
79,10914.01
80,10982.22
81,11050.86
82,11119.93
83,11064.33
84,11133.48
85,11203.07
86,11147.05
87,11216.72
88,11160.64
89,11230.39
90,11300.58
91,11244.08
92,11187.86
93,11257.78
94,11201.49
95,11271.5
96,11341.95
97,11412.83
98,11484.16
99,11426.74
100,11369.61
101,11312.76
102,11256.2
103,11326.55
104,11397.34
105,11468.57
106,11540.25
107,11612.38
108,11554.32
109,11496.55
110,11568.4
111,11510.56
112,11582.5
113,11654.89
114,11727.73
115,11801.03
116,11874.79
117,11815.41
118,11889.26
119,11829.81
120,11770.66
121,11844.23
122,11918.26
123,11992.75
124,12067.7
125,12007.36
126,12082.41
127,12157.92
128,12097.13
129,12172.74
130,12248.82
131,12187.58
132,12263.75
133,12202.43
134,12141.42
135,12080.71
136,12020.31
137,11960.21
138,12034.96
139,12110.18
140,12185.86
141,12124.93
142,12064.31
143,12139.71
144,12079.01
145,12154.51
146,12230.47
147,12169.32
148,12108.47
149,12184.15
150,12260.3
151,12199.0
152,12138.01
153,12213.87
154,12290.21
155,12228.75
156,12167.61
157,12243.66
158,12182.44
159,12258.58
160,12335.2
161,12273.52
162,12212.15
163,12288.48
164,12365.28
165,12303.45
166,12241.94
167,12180.73
168,12119.82
169,12195.57
170,12271.8
171,12210.44
172,12286.75
173,12363.54
174,12301.73
175,12240.22
176,12179.02
177,12118.12
178,12057.53
179,11997.24
180,12072.23
181,12011.86
182,11951.81
183,12026.5
184,12101.67
185,12177.31
186,12253.41
187,12192.15
188,12268.35
189,12207.01
190,12283.3
191,12221.88
192,12298.27
193,12375.13
194,12452.48
195,12390.22
196,12328.27
197,12405.32
198,12482.85
199,12560.87
200,12498.06
201,12576.18
202,12654.78
203,12591.5
204,12670.2
205,12606.85
206,12543.82
207,12481.1
208,12559.1
209,12637.6
210,12574.41
211,12653.0
212,12732.08
213,12811.66
214,12747.6
215,12683.86
216,12763.13
217,12842.9
218,12923.17
219,13003.94
220,13085.22
221,13019.79
222,12954.69
223,12889.92
224,12825.47
225,12761.34
226,12697.53
227,12776.89
228,12856.75
229,12792.47
230,12728.5
231,12808.06
232,12888.11
233,12968.66
234,13049.71
235,12984.46
236,13065.62
237,13147.28
238,13229.45
239,13163.3
240,13097.48
241,13179.34
242,13261.71
243,13195.4
244,13277.88
245,13360.86
246,13444.37
247,13528.39
248,13612.95
249,13698.03
250,13783.64
251,13714.72
252,13800.44
253,13886.69
254,13973.48
255,14060.82
256,14148.7
257,14077.96
258,14007.57
259,14095.11
260,14183.21
261,14112.29
262,14041.73
263,13971.52
264,13901.66
265,13988.55
266,14075.98
267,14005.6
268,13935.57
269,14022.67
270,13952.55
271,13882.79
272,13969.56
273,14056.87
274,13986.58
275,13916.65
276,13847.07
277,13933.61
278,13863.94
279,13950.59
280,13880.84
281,13967.6
282,14054.89
283,13984.62
284,14072.02
285,14001.66
286,13931.65
287,13862.0
288,13948.63
289,14035.81
290,14123.54
291,14211.81
292,14140.75
293,14070.05
294,14157.98
295,14246.47
296,14175.24
297,14263.83
298,14352.98
299,14281.22
300,14370.47
