trade,equity
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
1,9999.58
1,9999.58
1,9999.58
2,9999.16
2,9999.16
2,9999.16
2,9999.16
2,9999.16
3,9998.73
3,9998.73
3,9998.73
3,9998.73
3,9998.73
3,9998.73
3,9998.73
4,9998.3
4,9998.3
4,9998.3
5,9997.88
5,9997.88
6,9997.47
6,9997.47
7,9997.07
7,9997.07
7,9997.07
7,9997.07
7,9997.07
7,9997.07
7,9997.07
7,9997.07
7,9997.07
7,9997.07
7,9997.07
7,9997.07
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
8,9996.68
