"pf","ret","KTP","KSL","TREND","RSI"
"4.36","0.15","0.8","1.8","100","60/40"
"4.36","0.15","0.8","1.8","0","60/40"
"4.36","0.15","0.8","2.0","0","60/40"
"4.36","0.15","0.8","2.0","100","60/40"
"3.4","0.1","1.0","1.8","100","60/40"
"3.4","0.1","1.0","1.8","0","60/40"
"3.4","0.1","1.0","2.0","100","60/40"
"3.4","0.1","1.0","2.0","0","60/40"
"3.4","-0.15","1.0","1.4","0","60/40"
"3.4","-0.15","1.0","1.4","100","60/40"
"2.86","-0.12","0.8","1.4","0","60/40"
"2.86","-0.12","0.8","1.4","100","60/40"
"1.91","0.08","0.8","1.8","0","55/45"
"1.91","0.08","0.8","1.8","100","55/45"
"1.91","0.07","0.8","2.0","100","55/45"
"1.91","0.07","0.8","2.0","0","55/45"
"1.91","-0.32","0.8","1.4","0","55/45"
"1.91","-0.32","0.8","1.4","100","55/45"
"0","0","2.0","2.0","100","60/40"
"0","0","2.0","2.0","0","60/40"
"0","0","1.8","2.0","100","60/40"
"0","0","2.2","2.0","0","60/40"
"0","0","2.4","2.0","100","60/40"
"0","0","2.4","2.0","0","60/40"
"0","0","2.2","2.0","100","60/40"
"0","0","1.4","2.0","0","60/40"
"0","0","1.2","2.0","100","60/40"
"0","0","1.2","2.0","0","60/40"
"0","0","1.4","2.0","100","60/40"
"0","0","1.8","2.0","0","60/40"
"0","0","1.6","2.0","100","60/40"
"0","0","1.6","2.0","0","60/40"
