"pf","ret","KTP","KSL","TREND","RSI","split","trades","maxDD%"
"100000002.87","0.04","1.0","1.6","20","52/48","","32","0.00"
"100000002.87","0.04","1.0","1.6","20","52/48","","32","0.00"
"100000002.87","0.04","1.0","1.8","20","52/48","","32","0.00"
"100000002.87","0.04","1.0","1.8","20","52/48","","32","0.00"
"100000002.87","0.02","1.0","2.0","20","52/48","","32","0.00"
"100000002.87","0.02","1.0","2.0","20","52/48","","32","0.00"
"100000002.87","0.01","1.0","1.4","20","52/48","","32","0.03"
"100000002.87","0.01","1.0","1.4","20","52/48","","32","0.03"
"100000002.87","-0.02","1.0","1.2","20","52/48","","32","0.06"
"100000002.87","-0.02","1.0","1.2","20","52/48","","32","0.06"
"100000002.87","-0.02","1.0","1.3","20","52/48","","32","0.06"
"100000002.87","-0.02","1.0","1.3","20","52/48","","32","0.06"
"100000002.58","0.04","0.9","1.6","20","52/48","","32","0.00"
"100000002.58","0.04","0.9","1.6","20","52/48","","32","0.00"
"100000002.58","0.02","0.9","1.8","20","52/48","","32","0.00"
"100000002.58","0.02","0.9","1.8","20","52/48","","32","0.00"
"100000002.58","0.02","0.9","2.0","20","52/48","","32","0.00"
"100000002.58","0.02","0.9","2.0","20","52/48","","32","0.00"
"100000002.58","0.01","0.9","1.4","20","52/48","","32","0.03"
"100000002.58","0.01","0.9","1.4","20","52/48","","32","0.03"
"100000002.58","-0.02","0.9","1.2","20","52/48","","32","0.06"
"100000002.58","-0.02","0.9","1.2","20","52/48","","32","0.06"
"100000002.58","-0.02","0.9","1.3","20","52/48","","32","0.06"
"100000002.58","-0.02","0.9","1.3","20","52/48","","32","0.06"
"100000002.28","0.02","0.8","1.6","20","52/48","","32","0.00"
"100000002.28","0.02","0.8","1.6","20","52/48","","32","0.00"
"100000002.28","0.02","0.8","1.8","20","52/48","","32","0.00"
"100000002.28","0.02","0.8","1.8","20","52/48","","32","0.00"
"100000002.28","0.02","0.8","2.0","20","52/48","","32","0.00"
"100000002.28","0.02","0.8","2.0","20","52/48","","32","0.00"
"100000002.28","0.01","0.8","1.4","20","52/48","","32","0.03"
"100000002.28","0.01","0.8","1.4","20","52/48","","32","0.03"
"100000002.28","-0.02","0.8","1.2","20","52/48","","32","0.06"
"100000002.28","-0.02","0.8","1.2","20","52/48","","32","0.06"
"100000002.28","-0.02","0.8","1.3","20","52/48","","32","0.06"
"100000002.28","-0.02","0.8","1.3","20","52/48","","32","0.06"
"100000000.12","-0.18","1.0","1.0","20","52/48","","32","0.24"
"100000000.12","-0.18","1.0","1.0","20","52/48","","32","0.24"
"100000000.11","-0.18","1.0","1.1","20","52/48","","32","0.24"
"100000000.11","-0.18","1.0","1.1","20","52/48","","32","0.24"
"100000000.1","-0.18","0.9","1.0","20","52/48","","32","0.24"
"100000000.1","-0.18","0.9","1.0","20","52/48","","32","0.24"
"100000000.1","-0.2","0.9","1.1","20","52/48","","32","0.24"
"100000000.1","-0.2","0.9","1.1","20","52/48","","32","0.24"
"100000000.09","-0.2","0.8","1.0","20","52/48","","32","0.24"
"100000000.09","-0.2","0.8","1.0","20","52/48","","32","0.24"
"100000000.09","-0.2","0.8","1.1","20","52/48","","32","0.24"
"100000000.09","-0.2","0.8","1.1","20","52/48","","32","0.24"
"4.34","0.03","0.8","1.6","50","52/48","","49","0.00"
"4.34","0.03","0.8","1.6","50","52/48","","49","0.00"
"4.34","0.03","0.8","1.6","200","52/48","","49","0.00"
"4.34","0.03","0.8","1.6","200","52/48","","49","0.00"
"4.34","0.03","0.8","1.6","250","52/48","","49","0.00"
"4.34","0.03","0.8","1.6","250","52/48","","49","0.00"
"4.34","0.03","0.8","1.6","100","52/48","","49","0.00"
"4.34","0.03","0.8","1.6","100","52/48","","49","0.00"
"4.34","0.03","0.8","1.6","150","52/48","","49","0.00"
"4.34","0.03","0.8","1.6","150","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","50","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","50","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","200","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","200","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","250","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","250","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","100","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","100","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","150","52/48","","49","0.00"
"4.34","0.03","0.8","1.8","150","52/48","","49","0.00"
