"KTP","KSL","TREND","RSI_UP","RSI_DN","RSI","split","trades","PF","return%","maxDD%"
"0.8","1.6","200","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","1.6","250","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","1.6","250","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","2.0","100","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","2.0","150","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","2.0","150","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","1.6","150","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","1.8","50","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","1.8","50","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","1.6","100","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","1.6","100","52","48","52/48","","49","4.34","0.03","0.00"
"0.8","1.6","150","52","48","52/48","","49","4.34","0.03","0.00"
