rank,KTP,KSL,TREND,RSI,split,trades,PF,return%,maxDD%,chunk_csv,equity_csv
1,1,1.8,20,52/48,10,1,1000000000.00,0.30,0.00,wf_chunk_10.csv,wf_equity_10.csv
2,1,1.8,20,52/48,10,1,1000000000.00,0.30,0.00,wf_chunk_10.csv,wf_equity_10.csv
3,1,1.6,20,52/48,10,1,1000000000.00,0.30,0.00,wf_chunk_10.csv,wf_equity_10.csv
4,1,1.6,20,52/48,10,1,1000000000.00,0.30,0.00,wf_chunk_10.csv,wf_equity_10.csv
5,1,2,20,52/48,10,1,1000000000.00,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
6,1,2,20,52/48,10,1,1000000000.00,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
7,1,1.4,20,52/48,10,1,1000000000.00,0.40,0.00,wf_chunk_10.csv,wf_equity_10.csv
8,1,1.4,20,52/48,10,1,1000000000.00,0.40,0.00,wf_chunk_10.csv,wf_equity_10.csv
9,1,1.3,20,52/48,10,1,1000000000.00,0.40,0.00,wf_chunk_10.csv,wf_equity_10.csv
10,1,1.3,20,52/48,10,1,1000000000.00,0.40,0.00,wf_chunk_10.csv,wf_equity_10.csv
11,1,1.2,20,52/48,10,1,1000000000.00,0.40,0.00,wf_chunk_10.csv,wf_equity_10.csv
12,1,1.2,20,52/48,10,1,1000000000.00,0.40,0.00,wf_chunk_10.csv,wf_equity_10.csv
