trade,equity
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
1,9999.59
1,9999.59
1,9999.59
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
2,9999.18
3,9998.74
3,9998.74
3,9998.74
3,9998.74
3,9998.74
3,9998.74
3,9998.74
3,9998.74
4,9998.35
4,9998.35
4,9998.35
4,9998.35
4,9998.35
4,9998.35
4,9998.35
4,9998.35
4,9998.35
4,9998.35
4,9998.35
5,9997.91
6,9997.48
6,9997.48
6,9997.48
7,9997.01
7,9997.01
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
8,9966.59
9,9966.2
9,9966.2
10,9965.8
10,9965.8
11,9965.42
11,9965.42
12,9965.02
12,9965.02
13,9964.64
13,9964.64
14,9964.25
14,9964.25
14,9964.25
14,9964.25
15,9963.88
15,9963.88
15,9963.88
15,9963.88
16,9963.52
16,9963.52
16,9963.52
17,9963.17
