"pf","ret","KTP","KSL","TREND","RSI"
"0","-0.72","1.2","1.2","100","52/48"
"0","-0.72","2.0","1.2","0","52/48"
"0","-0.72","1.2","1.2","0","52/48"
"0","-0.72","1.6","1.2","100","52/48"
"0","-0.72","1.6","1.2","200","52/48"
"0","-0.72","2.0","1.2","100","52/48"
"0","-0.72","2.0","1.2","200","52/48"
"0","-0.72","1.6","1.2","0","52/48"
"0","-0.72","1.2","1.2","200","52/48"
"0","-0.85","1.6","1.2","0","55/45"
"0","-0.85","1.2","1.2","200","55/45"
"0","-0.85","1.6","1.2","100","55/45"
"0","-0.85","1.2","1.2","100","55/45"
"0","-0.85","1.2","1.2","0","55/45"
"0","-0.85","2.0","1.2","100","55/45"
