rank,PF(avg),return%(avg),maxDD%(avg),trades(total),KTP,KSL,TREND,RSI_UP,RSI_DN
1,17.54,-0.05,0.15,21,1.0,1.4,50,65,35
2,17.19,-0.05,0.15,22,1.0,1.4,0,65,35
3,17.19,-0.05,0.15,22,1.0,1.4,100,65,35
4,17.19,-0.05,0.15,22,1.0,1.4,150,65,35
5,17.19,-0.05,0.15,22,1.0,1.4,200,65,35
6,15.26,-0.30,0.45,22,1.0,1.0,0,65,35
7,15.26,-0.30,0.45,22,1.0,1.0,100,65,35
8,15.26,-0.30,0.45,22,1.0,1.0,150,65,35
9,15.26,-0.30,0.45,22,1.0,1.0,200,65,35
10,15.26,-0.30,0.45,21,1.0,1.0,50,65,35
11,15.24,-0.35,0.45,21,1.0,1.2,50,65,35
12,15.24,-0.35,0.45,22,1.0,1.2,0,65,35
13,15.24,-0.35,0.45,22,1.0,1.2,100,65,35
14,15.24,-0.35,0.45,22,1.0,1.2,150,65,35
15,15.24,-0.35,0.45,22,1.0,1.2,200,65,35
16,4.68,-0.05,0.15,29,1.0,1.4,50,60,40
17,3.40,-0.05,0.15,38,1.0,1.4,0,60,40
18,3.40,-0.05,0.15,38,1.0,1.4,100,60,40
19,3.40,-0.05,0.15,38,1.0,1.4,150,60,40
20,3.40,-0.05,0.15,38,1.0,1.4,200,60,40
21,3.37,-0.07,0.15,21,1.4,1.4,50,65,35
22,2.88,-0.07,0.15,22,1.4,1.4,0,65,35
23,2.88,-0.07,0.15,22,1.4,1.4,100,65,35
24,2.88,-0.07,0.15,22,1.4,1.4,150,65,35
25,2.88,-0.07,0.15,22,1.4,1.4,200,65,35
26,2.88,-0.10,0.15,21,1.2,1.4,50,65,35
27,2.47,-0.10,0.15,22,1.2,1.4,0,65,35
28,2.47,-0.10,0.15,22,1.2,1.4,100,65,35
29,2.47,-0.10,0.15,22,1.2,1.4,150,65,35
30,2.47,-0.10,0.15,22,1.2,1.4,200,65,35
31,2.35,-0.42,0.53,29,1.0,1.2,50,60,40
32,1.61,-0.50,0.60,38,1.0,1.2,0,60,40
33,1.61,-0.50,0.60,38,1.0,1.2,100,60,40
34,1.61,-0.50,0.60,38,1.0,1.2,150,60,40
35,1.61,-0.50,0.60,38,1.0,1.2,200,60,40
36,1.33,0.03,0.03,50,1.0,1.4,0,52,48
37,1.33,0.03,0.03,50,1.0,1.4,100,52,48
38,1.33,0.03,0.03,50,1.0,1.4,150,52,48
39,1.33,0.03,0.03,50,1.0,1.4,200,52,48
40,0.44,-0.57,0.75,21,1.0,0.8,50,65,35
41,0.44,-0.57,0.75,22,1.0,0.8,0,65,35
42,0.44,-0.57,0.75,22,1.0,0.8,100,65,35
43,0.44,-0.57,0.75,22,1.0,0.8,150,65,35
44,0.44,-0.57,0.75,22,1.0,0.8,200,65,35
45,0.33,-0.60,0.75,29,1.0,1.0,50,60,40
46,0.29,-0.82,0.90,29,1.0,0.8,50,60,40
47,0.19,-0.35,0.40,50,1.0,1.2,0,52,48
48,0.19,-0.35,0.40,50,1.0,1.2,100,52,48
49,0.19,-0.35,0.40,50,1.0,1.2,150,52,48
50,0.19,-0.35,0.40,50,1.0,1.2,200,52,48
51,0.17,-1.12,1.23,38,1.0,0.8,0,60,40
52,0.17,-1.12,1.23,38,1.0,0.8,100,60,40
53,0.17,-1.12,1.23,38,1.0,0.8,150,60,40
54,0.17,-1.12,1.23,38,1.0,0.8,200,60,40
55,0.17,-0.35,0.45,22,1.4,1.0,0,65,35
56,0.17,-0.35,0.45,22,1.4,1.0,100,65,35
57,0.17,-0.35,0.45,22,1.4,1.0,150,65,35
58,0.17,-0.35,0.45,22,1.4,1.0,200,65,35
59,0.17,-0.35,0.45,21,1.4,1.0,50,65,35
60,0.15,-0.93,1.05,38,1.0,1.0,0,60,40
61,0.15,-0.93,1.05,38,1.0,1.0,100,60,40
62,0.15,-0.93,1.05,38,1.0,1.0,150,60,40
63,0.15,-0.93,1.05,38,1.0,1.0,200,60,40
64,0.14,-0.38,0.45,21,1.2,1.0,50,65,35
65,0.14,-0.62,0.75,22,1.4,0.8,0,65,35
66,0.14,-0.62,0.75,22,1.4,0.8,100,65,35
