rank,PF(avg),return%(avg),maxDD%(avg),trades(total),KTP,KSL,TREND,RSI_UP,RSI_DN
1,100000002.87,0.04,0.00,32,1.0,1.6,20,52,48
2,100000002.87,0.04,0.00,32,1.0,1.6,20,52,48
3,100000002.87,0.04,0.00,32,1.0,1.8,20,52,48
4,100000002.87,0.04,0.00,32,1.0,1.8,20,52,48
5,100000002.87,0.02,0.00,32,1.0,2.0,20,52,48
6,100000002.87,0.02,0.00,32,1.0,2.0,20,52,48
7,100000002.87,0.01,0.03,32,1.0,1.4,20,52,48
8,100000002.87,0.01,0.03,32,1.0,1.4,20,52,48
9,100000002.87,-0.02,0.06,32,1.0,1.2,20,52,48
10,100000002.87,-0.02,0.06,32,1.0,1.2,20,52,48
11,100000002.87,-0.02,0.06,32,1.0,1.3,20,52,48
12,100000002.87,-0.02,0.06,32,1.0,1.3,20,52,48
13,100000002.58,0.04,0.00,32,0.9,1.6,20,52,48
14,100000002.58,0.04,0.00,32,0.9,1.6,20,52,48
15,100000002.58,0.02,0.00,32,0.9,1.8,20,52,48
16,100000002.58,0.02,0.00,32,0.9,1.8,20,52,48
17,100000002.58,0.02,0.00,32,0.9,2.0,20,52,48
18,100000002.58,0.02,0.00,32,0.9,2.0,20,52,48
19,100000002.58,0.01,0.03,32,0.9,1.4,20,52,48
20,100000002.58,0.01,0.03,32,0.9,1.4,20,52,48
21,100000002.58,-0.02,0.06,32,0.9,1.2,20,52,48
22,100000002.58,-0.02,0.06,32,0.9,1.2,20,52,48
23,100000002.58,-0.02,0.06,32,0.9,1.3,20,52,48
24,100000002.58,-0.02,0.06,32,0.9,1.3,20,52,48
25,100000002.28,0.02,0.00,32,0.8,1.6,20,52,48
26,100000002.28,0.02,0.00,32,0.8,1.6,20,52,48
27,100000002.28,0.02,0.00,32,0.8,1.8,20,52,48
28,100000002.28,0.02,0.00,32,0.8,1.8,20,52,48
29,100000002.28,0.02,0.00,32,0.8,2.0,20,52,48
30,100000002.28,0.02,0.00,32,0.8,2.0,20,52,48
31,100000002.28,0.01,0.03,32,0.8,1.4,20,52,48
32,100000002.28,0.01,0.03,32,0.8,1.4,20,52,48
33,100000002.28,-0.02,0.06,32,0.8,1.2,20,52,48
34,100000002.28,-0.02,0.06,32,0.8,1.2,20,52,48
35,100000002.28,-0.02,0.06,32,0.8,1.3,20,52,48
36,100000002.28,-0.02,0.06,32,0.8,1.3,20,52,48
37,100000000.12,-0.18,0.24,32,1.0,1.0,20,52,48
38,100000000.12,-0.18,0.24,32,1.0,1.0,20,52,48
39,100000000.11,-0.18,0.24,32,1.0,1.1,20,52,48
40,100000000.11,-0.18,0.24,32,1.0,1.1,20,52,48
41,100000000.10,-0.18,0.24,32,0.9,1.0,20,52,48
42,100000000.10,-0.18,0.24,32,0.9,1.0,20,52,48
43,100000000.10,-0.20,0.24,32,0.9,1.1,20,52,48
44,100000000.10,-0.20,0.24,32,0.9,1.1,20,52,48
45,100000000.09,-0.20,0.24,32,0.8,1.0,20,52,48
46,100000000.09,-0.20,0.24,32,0.8,1.0,20,52,48
47,100000000.09,-0.20,0.24,32,0.8,1.1,20,52,48
48,100000000.09,-0.20,0.24,32,0.8,1.1,20,52,48
49,4.34,0.03,0.00,49,0.8,1.6,50,52,48
50,4.34,0.03,0.00,49,0.8,1.6,50,52,48
51,4.34,0.03,0.00,49,0.8,1.6,200,52,48
52,4.34,0.03,0.00,49,0.8,1.6,200,52,48
53,4.34,0.03,0.00,49,0.8,1.6,250,52,48
54,4.34,0.03,0.00,49,0.8,1.6,250,52,48
55,4.34,0.03,0.00,49,0.8,1.6,100,52,48
56,4.34,0.03,0.00,49,0.8,1.6,100,52,48
57,4.34,0.03,0.00,49,0.8,1.6,150,52,48
58,4.34,0.03,0.00,49,0.8,1.6,150,52,48
59,4.34,0.03,0.00,49,0.8,1.8,50,52,48
60,4.34,0.03,0.00,49,0.8,1.8,50,52,48
61,4.34,0.03,0.00,49,0.8,1.8,200,52,48
62,4.34,0.03,0.00,49,0.8,1.8,200,52,48
63,4.34,0.03,0.00,49,0.8,1.8,250,52,48
64,4.34,0.03,0.00,49,0.8,1.8,250,52,48
65,4.34,0.03,0.00,49,0.8,1.8,100,52,48
66,4.34,0.03,0.00,49,0.8,1.8,100,52,48
67,4.34,0.03,0.00,49,0.8,1.8,150,52,48
68,4.34,0.03,0.00,49,0.8,1.8,150,52,48
69,4.34,0.03,0.00,49,0.8,2.0,50,52,48
70,4.34,0.03,0.00,49,0.8,2.0,50,52,48
71,4.34,0.03,0.00,49,0.8,2.0,200,52,48
