rank,KTP,KSL,TREND,RSI,split,trades,PF,return%,maxDD%,chunk_csv,equity_csv
1,1.2,1.2,100,52/48,1,9,0.00,-0.10,0.10,wf_chunk_1.csv,wf_equity_1.csv
1,1.2,1.2,100,52/48,2,7,0.00,-0.50,0.50,wf_chunk_2.csv,wf_equity_2.csv
1,1.2,1.2,100,52/48,3,13,0.00,-0.60,0.60,wf_chunk_3.csv,wf_equity_3.csv
1,1.2,1.2,100,52/48,4,8,0.00,-1.50,1.50,wf_chunk_4.csv,wf_equity_4.csv
1,1.2,1.2,100,52/48,5,5,0.00,-0.00,0.00,wf_chunk_5.csv,wf_equity_5.csv
1,1.2,1.2,100,52/48,6,8,0.00,-0.60,0.60,wf_chunk_6.csv,wf_equity_6.csv
2,2.0,1.2,0,52/48,1,9,0.00,-0.10,0.10,wf_chunk_1.csv,wf_equity_1.csv
2,2.0,1.2,0,52/48,2,7,0.00,-0.50,0.50,wf_chunk_2.csv,wf_equity_2.csv
2,2.0,1.2,0,52/48,3,13,0.00,-0.60,0.60,wf_chunk_3.csv,wf_equity_3.csv
2,2.0,1.2,0,52/48,4,8,0.00,-1.50,1.50,wf_chunk_4.csv,wf_equity_4.csv
2,2.0,1.2,0,52/48,5,5,0.00,-0.00,0.00,wf_chunk_5.csv,wf_equity_5.csv
2,2.0,1.2,0,52/48,6,8,0.00,-0.60,0.60,wf_chunk_6.csv,wf_equity_6.csv
3,1.2,1.2,0,52/48,1,9,0.00,-0.10,0.10,wf_chunk_1.csv,wf_equity_1.csv
3,1.2,1.2,0,52/48,2,7,0.00,-0.50,0.50,wf_chunk_2.csv,wf_equity_2.csv
3,1.2,1.2,0,52/48,3,13,0.00,-0.60,0.60,wf_chunk_3.csv,wf_equity_3.csv
3,1.2,1.2,0,52/48,4,8,0.00,-1.50,1.50,wf_chunk_4.csv,wf_equity_4.csv
3,1.2,1.2,0,52/48,5,5,0.00,-0.00,0.00,wf_chunk_5.csv,wf_equity_5.csv
3,1.2,1.2,0,52/48,6,8,0.00,-0.60,0.60,wf_chunk_6.csv,wf_equity_6.csv
4,1.6,1.2,100,52/48,1,9,0.00,-0.10,0.10,wf_chunk_1.csv,wf_equity_1.csv
4,1.6,1.2,100,52/48,2,7,0.00,-0.50,0.50,wf_chunk_2.csv,wf_equity_2.csv
4,1.6,1.2,100,52/48,3,13,0.00,-0.60,0.60,wf_chunk_3.csv,wf_equity_3.csv
4,1.6,1.2,100,52/48,4,8,0.00,-1.50,1.50,wf_chunk_4.csv,wf_equity_4.csv
4,1.6,1.2,100,52/48,5,5,0.00,-0.00,0.00,wf_chunk_5.csv,wf_equity_5.csv
4,1.6,1.2,100,52/48,6,8,0.00,-0.60,0.60,wf_chunk_6.csv,wf_equity_6.csv
5,1.6,1.2,200,52/48,1,9,0.00,-0.10,0.10,wf_chunk_1.csv,wf_equity_1.csv
5,1.6,1.2,200,52/48,2,7,0.00,-0.50,0.50,wf_chunk_2.csv,wf_equity_2.csv
5,1.6,1.2,200,52/48,3,13,0.00,-0.60,0.60,wf_chunk_3.csv,wf_equity_3.csv
5,1.6,1.2,200,52/48,4,8,0.00,-1.50,1.50,wf_chunk_4.csv,wf_equity_4.csv
5,1.6,1.2,200,52/48,5,5,0.00,-0.00,0.00,wf_chunk_5.csv,wf_equity_5.csv
5,1.6,1.2,200,52/48,6,8,0.00,-0.60,0.60,wf_chunk_6.csv,wf_equity_6.csv
6,2.0,1.2,100,52/48,1,9,0.00,-0.10,0.10,wf_chunk_1.csv,wf_equity_1.csv
6,2.0,1.2,100,52/48,2,7,0.00,-0.50,0.50,wf_chunk_2.csv,wf_equity_2.csv
6,2.0,1.2,100,52/48,3,13,0.00,-0.60,0.60,wf_chunk_3.csv,wf_equity_3.csv
6,2.0,1.2,100,52/48,4,8,0.00,-1.50,1.50,wf_chunk_4.csv,wf_equity_4.csv
6,2.0,1.2,100,52/48,5,5,0.00,-0.00,0.00,wf_chunk_5.csv,wf_equity_5.csv
6,2.0,1.2,100,52/48,6,8,0.00,-0.60,0.60,wf_chunk_6.csv,wf_equity_6.csv
7,2.0,1.2,200,52/48,1,9,0.00,-0.10,0.10,wf_chunk_1.csv,wf_equity_1.csv
7,2.0,1.2,200,52/48,2,7,0.00,-0.50,0.50,wf_chunk_2.csv,wf_equity_2.csv
7,2.0,1.2,200,52/48,3,13,0.00,-0.60,0.60,wf_chunk_3.csv,wf_equity_3.csv
7,2.0,1.2,200,52/48,4,8,0.00,-1.50,1.50,wf_chunk_4.csv,wf_equity_4.csv
7,2.0,1.2,200,52/48,5,5,0.00,-0.00,0.00,wf_chunk_5.csv,wf_equity_5.csv
7,2.0,1.2,200,52/48,6,8,0.00,-0.60,0.60,wf_chunk_6.csv,wf_equity_6.csv
8,1.6,1.2,0,52/48,1,9,0.00,-0.10,0.10,wf_chunk_1.csv,wf_equity_1.csv
8,1.6,1.2,0,52/48,2,7,0.00,-0.50,0.50,wf_chunk_2.csv,wf_equity_2.csv
8,1.6,1.2,0,52/48,3,13,0.00,-0.60,0.60,wf_chunk_3.csv,wf_equity_3.csv
8,1.6,1.2,0,52/48,4,8,0.00,-1.50,1.50,wf_chunk_4.csv,wf_equity_4.csv
8,1.6,1.2,0,52/48,5,5,0.00,-0.00,0.00,wf_chunk_5.csv,wf_equity_5.csv
8,1.6,1.2,0,52/48,6,8,0.00,-0.60,0.60,wf_chunk_6.csv,wf_equity_6.csv
